INPUT:url	INPUT:title	INPUT:text	GOLDEN:res	INPUT:trans_title	INPUT:trans_text
https://www.thehindu.com/news/national/tamil-nadu/rain-results-in-flooding-landslips-at-14-locations/article30001928.ece	Rain results in flooding, landslips at 14 locations	Heavy rain led to flash floods and landslips in and around Coonoor on Sunday morning. After a spell of heavy rain from Saturday night to Sunday morning, ten motorcycles and a few cars were washed away when the Coonoor river overflowed. Fire and Rescue Services personnel said a section of the river, which narrows at a particular area, flooded the surrounding roads on Sunday morning, resulting in vehicles parked by the side of the road near Krishnapuram in Coonoor getting washed away. The fire service personnel were trying to retrieve the vehicles. Landslips were also reported in 14 locations along the Coonoor to Mettupalayam Road and the Coonoor to Ooty Road, leading to traffic to Udhagamandalam town being diverted via Kotagiri Road on Sunday morning. Officials from the National Highways said eight of the landslips were major and that five earthmovers worked since early Sunday morning to clear the roads of traffic. Most of the landslips were cleared by afternoon, they said. The Nilgiris district administration said Coonoor town received around 139 mm of rainfall till Sunday morning. 	society	Результаты дождя при затоплении, оползни в 14 местах	Сильный дождь привел к флэш наводнения и оползни и вокруг Кунур в воскресенье утром. После периода сильного дождя с субботу вечером в воскресенье утром, десять мотоциклов и несколько автомобилей были смыты, когда река Coonoor переполнена. Пожарные и спасательные службы персонала сказал участок реки, которая сужается в той или иной области, затоплены окружающие дороги в воскресенье утром, в результате чего транспортные средства припаркованные на обочине дороги возле Krishnapuram в Кунур получение смыты. Сотрудники пожарной службы пытаются восстановить транспортные средства. Оползни были также зарегистрированы в 14 местах вдоль Кунур к Mettupalayam Роуд и Кунур к Ути пути, что приводит к движению в Udhagamandalam город отвлекаются через Kotagiri Дорога в воскресенье утром. Чиновники из Национальных шоссейных дорог сказали восемь из оползней были главными и что пяти Землеройно работали с ранним утра в воскресенье, чтобы очистить дороги трафика. Большинство оползни были очищены во второй половине дня, они сказали. Администрация Nilgiris района сказала города Coonoor получили около 139 мм осадков до утра воскресенья.
https://tolonews.com/afghanistan/abdullah-blasts-iec-%E2%80%98ignoring%E2%80%99-candidates%E2%80%99-demands	Abdullah Blasts IEC for ‘Ignoring’ Candidates’ Demands	Chief Executive Abdullah Abdullah, a three-time presidential contender, on Sunday criticized the Independent Election Commission, or IEC, for “ignoring” the demands of presidential candidates to sort out disputed votes, saying efforts are underway to add “fraudulent votes” into the total number tallied from the September 28 election day. The dispute over valid votes halted the vote recount and delayed the announcement of the preliminary results, which was scheduled for Nov. 14. IEC chairperson Hawa Alam Nuristani at a news conference on Saturday said that the IEC “agreed” with the presidential candidates and that the vote recount process will resume on Sunday. But Abdullah said that Nuristani’s press briefing was “not acceptable,” and it shows the commission is “favoring” the State Builder election campaign team, which is led by President Ghani. “The Election Commission has not given a clear response to any criticism from our side,” Abdullah said. “The IEC must try not to undermine its legitimacy,” Abdullah said. “The people will respect those IEC decisions that are made according to the law.” He reiterated that those votes without biometric data must be invalidated. “The Election Commission should give details about the 300,000 votes according to the law,” he said, referring to the disputed votes from over 8,000 polling stations. What are the disputed votes? TOLOnews has obtained the following information from the Independent Election Commission: According to the IEC, 26,586 polling stations out of a total of 29,586 polling stations were open on the election. The commission received paper ballots from 25,566 polling stations, but it has corresponding biometric information for only 24,842 polling stations, and the election teams want the paper, “non-biometric” votes disqualified. Of the biometric votes, the election campaign teams agree with the IEC on the validity of 18,850 polling stations – which include more than 1.8 million votes. But the commission later added votes from 8,486 polling stations to the total tally, and intend to recount them with the rest. The problem is that of these 8,486 polling stations, the election campaign teams have only agreed that the votes from 3,484 stations are valid, and should be recounted. The election teams say that votes from more than half of these 8,000 polling stations---whose votes number almost 300,000--should not be counted for various reasons. 137,000 of the 300,000 votes in question were originally isolated by Dermalog, the German firm which provided the biometric devices. Dermalog flagged the votes for various irregularities and because of the suspicion of fraud, with instances like the duplicate use of photos, or photos of photos. The disputed 300,000 also includes over 88,000 votes which came in before or after the accepted polling day hours. The third category is votes from 724 polling stations that were electronically sent in to the IEC from biometric devices or memory cards that were subsequently “lost.” Votes from these centers have been estimated at around 70,000. Abdullah’s New Stance “We have decided not to participate in the vote recounting process. The commission’s impartiality will be questioned if it does not review its decision (on resuming vote recounting) and our next decision will be made after that,” Abdullah said. “Votes from 2,400 ballot boxes have been entered into the server that don’t have (biometric) data,” Abdullah said, adding “There are more than 100,000 votes that came outside the valid time (Before and after the voting process started).” “We want the ghost votes to be invalidated,`` Abdullah added. He stated that the presidential candidates have sent several documents to the IEC and asked legitimate questions about the election process, but so far the commission has not replied to even one of them. “Any ‘illegal decision’ on the election will create an opportunity for a crisis… I see an opportunity today for the Election Commission to rethink its ‘illegal decisions’,” Abdullah concluded. 	society	Abdullah Взрывы IEC для «Игнорирование» Требований Претендентов	Главный исполнительный Абдулла Абдулла, президенты трехкратный, в воскресенье критике Независимой избирательной комиссии, или IEC, для «игнорирования» требований кандидатов в президенты, чтобы разобраться в спорных голосов, заявив, предпринимаются усилия, чтобы добавить «мошеннические голоса» в общее число подсчитано со дня выборов 28 сентября. Спор действительных голосов остановил пересчета голосов и отложила объявление предварительных результатов, который был запланирован на ноябрь 14. IEC председатель Хава Алам Nuristani на пресс-конференции в субботу заявил, что МЭК «договорились» с кандидатами в президенты, и что процесс повторного подсчета голосов возобновится в воскресенье. Но Абдулла сообщил, что пресс-брифинг Nuristani был «не приемлем», и это показывает, что комиссия «в пользу» команда избирательной кампании государственного строителя, который во главе с президентом Ганей. «Избирательная комиссия не дала четкий ответ на любую критику с нашей стороны,» сказал Абдулла. «МЭК должны стараться, чтобы не подорвать его легитимность,» сказал Абдулла. «Люди будут уважать эти решения ИПК, которые сделаны в соответствии с законом.» Он повторил, что эти голоса без биометрических данных должны быть признаны недействительными. «Избирательная комиссия должна предоставить подробную информацию о 300000 голосах в соответствии с законом,» сказал он, обращаясь к оспариваемым голосам из более чем 8000 избирательных участков. Какие спорные голоса? TOLOnews получил следующую информацию от Независимой избирательной комиссии: В соответствии с IEC, 26,586 избирательные участки из общего числа 29,586 избирательных участков были открыты на выборах. Комиссия получила бумажные бюллетени от 25,566 избирательных участков, но имеет соответствующую биометрические данные только для 24842 избирательных участков, а также избирательные команды хотят бумагу, «не-биометрические» голоса дисквалифицированы. Из биометрических голосов, команды избирательной кампании соглашаются с МЭК на действительности 18,850 избирательных участков - которые включают в себя более 1,8 миллиона голосов. Но комиссия позже добавила голоса от 8,486 избирательных участков на общую бирку, и намерена пересчитать их с остальным. Проблема заключается в том, что из этих 8,486 избирательных участков, команды избирательной кампании только согласились, что голос из 3484 станций являются действительным, и должны пересчитать. Избирательные команды говорят, что голос из более чем половин из них 8000 избирательных участков --- чьи голоса число почти 300 000 - не должен учитываться по разным причинам. 137000 из 300000 голосов вопроса были первоначально выделены Dermalog, немецкой фирмой, которая при условии биометрических устройств. Dermalog помечено голоса для различных нарушений и из-за подозрения в мошенничестве, с экземплярами, как дублированное использование фотографий или фотографий фотографий. Конфликтные 300000 также включает в себя более 88000 голосов, которые пришли в до или после принятых часов дня голосования. Третья категория голоса из 724 избирательных участков, которые были в электронном виде присланных к IEC от биометрических устройств или карт памяти, которые впоследствии были «потеряны.» Голос из этих центров были оценен около 70000. Новый Stance Абдуллы «Мы решили не участвовать в процессе голос, рассказывающий. беспристрастность комиссии будет поставлена ​​под сомнение, если не пересмотреть свое решение (о возобновлении пересчета голосов) и наше следующее решение будет принято после того,»сказал Абдулла. «Голоса из 2400 урн были введены в сервер, которые не имеют (биометрические) данные,» сказал Абдулла, добавив: «Есть более 100000 голосов, которые вышли за пределы допустимого времени (до и после процесса голосования начался). »«Мы хотим, чтобы призрачные голоса были признаны недействительными, `` добавил Абдулла. Он заявил, что кандидаты в президенты отправили несколько документов в МЭК и спросил закономерные вопросы о процессе выборов, но до сих пор комиссия не ответил хотя бы один из них. «Любое„незаконное решение“о выборах создаст возможность для кризиса ... Я вижу сегодня возможность для избирательной комиссии пересмотреть свои„незаконные решения“,» заключил Абдулла.
https://boingboing.net/2019/11/12/owner-of-taco-chain-also-meth.html	Owner of taco chain also meth lord, say cops	Adolfo “Flaco” Mitchell, 34, owns a chain of taco restaurants in coastal Georgia. He's also been indicted for drug trafficking and conspiracy. 	society	Владелец тако цепи также мет господина, говорят полицейские	Адольфо «Флако» Митчелл, 34, владеет сетью ресторанов тако в прибрежных Грузии. Он также обвиняется в незаконном обороте наркотиков и сговоре.
https://www.washingtontimes.com/news/2019/nov/17/police-arrest-gunman-after-standoff-lasts-nearly-4/	Police arrest gunman after standoff lasts nearly 4 hours	DES MOINES, Iowa (AP) - Police have arrested a 25-year-old man after a nearly four-hour standoff at an apartment complex in eastern Des Moines. Des Moines Police say officers responding to reports of gunfire shortly before 5 a.m. Sunday found the suspect on a second-floor balcony. The man fired at police and two officers returned fire before he retreated inside an apartment. The man was arrested without incident nearly four hours after police arrived. He was alone in the apartment. TOP STORIESNancy Pelosi goes for slam dunk -- and crashes to courtBiden trolls Trump after Stone verdict: 'Zero criminal convictions' for Team ObamaObama-era cash traced to Iran-backed terrorists No injuries were immediately reported in the incident. 	society	Полиция арест стрелявший после противостояния длится около 4 часов	DES MOINES, Айова (AP) - Полиция арестовала 25-летнего мужчину после того, как почти четыре часа противостояния в многоквартирном комплексе в восточной части города Де-Мойн. Де-Мойн Полицейские говорят, что сотрудники, отвечающие данным выстрелов незадолго до 5 часов утра в воскресенье нашли подозреваемого на втором этаже балкон. Мужчина выстрелил в полицейских и два сотрудника открыли ответный огонь, прежде чем он отступил в квартире. Человек был арестован без инцидентов почти четыре часа после того, как прибыла полиция. Он был один в квартире. TOP STORIESNancy Пелоси идет на слэм данк - и падает на courtBiden троллит Трампа после каменного приговора: «Ноль судимость» для команды ObamaObama эпохи наличными прослежены в Иран поддерживаемыми террористов никто не пострадал немедленно сообщили в инциденте.
https://elevenmyanmar.com/news/attacks-on-sri-lankan-muslims-will-resume-after-presidential-election-former-army-commander	Attacks on Sri Lankan Muslims will resume after Presidential Election - Former Army Commander	  COLOMBO ( The Island / ANN ) - Former Army Commander Mahesh Senanayake, who is contesting the forthcoming Presidential Election, says that extremist forces would resume their campaign of vilification, harassment and attacks on Muslims after November 16. Participating in a dialogue with civil society members in Colombo last week, Senanayake, a decorated soldier, said that attacks on Muslims which was a common feature prior to and after the April 21 Easter Sunday suicide bomb explosions, had ceased in August. The hiatus was due to a candidate who was the darling of extremists forces contesting the Presidential polls. But they would, he predicted resume their campaign of hatred against the Muslims after November 16, regardless of whether their favourite candidate won or lost. Asked by a member of the audience, if he could prove what he was saying, Senanayake replied ``I am talking with a sense of responsibility. As Army Commander I headed the Intelligence Unit and I am still privy to certain developments.``     	society	Нападения на Шри-Ланке мусульман возобновятся после президентских выборов - бывший командарм	COLOMBO (The Island / ИНС) - бывший командарм Махеш Сенанаяке, который оспаривает предстоящие президентские выборы, говорит, что экстремистские силы возобновят свою кампанию по очернению, притеснений и нападений на мусульманах после того, как 16 ноября Участия в диалоге с членами гражданского общества в Коломбо на прошлой неделе, Сенанаяк, декорированный солдат, сказал, что нападения на мусульманах, которая была общая черта до и после 21 апреля Пасхального воскресенья самоубийства взрыва, прекратился в августе. Перерыв был связан с кандидатом, который был любимцем экстремистами сил оспариванию президентских выборов. Но они были бы, он предсказал возобновить кампанию ненависти против мусульман после того, как 16 ноября, независимо от того, является ли их любимый кандидат выиграны или проиграны. На вопрос члена аудитории, если он может доказать, что он говорил, Сенанаяке ответил `` Я говорю с чувством ответственности. Как командарм я возглавил подразделение разведки, и я все еще причастен к определенным developments.``
https://www.techradar.com/news/age-of-empires-4-gameplay-trailer-shows-off-beautiful-medieval-rts-warfare	Age of Empires 4 gameplay trailer shows off beautiful medieval RTS warfare	X019 throws up a treat for strategy gamers (Image credit: Microsoft) Microsoft may have not revealed much new about Xbox Project Scarlett at its X019 conference, but it did reveal a host of new games, and one hotly anticipated one in particular – Age of Empires 4. The veteran real-time strategy series has had a sequel cooking for some years now, and Microsoft took the opportunity to finally pull the covers off what the game's gameplay will look like. And, if you're a fan of Age of Empires 2 – which you should be, as it's one of the greatest strategy games of all time – you're in for a treat. Age of Empires 4 looks like a true successor to that lauded title, with action-packed medieval warfare and city building: Those raised on the isometric Age of Empires titles will be looking at those detailed building and troop models with glee – this looks set to be a beautiful strategy game, with battles taking place on a grand scale. The trailer also gives us our first look at some of the civilisations that will be playable in the game, with what looks like the Mongols and the English going head to head. And yes, the uber-powerful trebuchet ranged units will be making a return – watch how their missiles cause a castle fortification to crumble. Being developed by Relic, known for the superb Company of Heroes and Warhammer 40,000 strategy series', we've yet to receive a full release date for Age of Empires 4. But needless to say, we can't wait to strap on a suit of armour and start barking orders at our pikemen. See more Gaming news 	entertainment	Возраст Empires 4 геймплейный трейлер хвастается красивой средневековой войны РТС	X019 подбрасывает лакомство для стратегии игроков (кредит изображения: Microsoft) Microsoft, возможно, не выявило много нового о Xbox проект Скарлетт на ее X019 конференции, но это было выявить множество новых игр, и один горячо ожидаемый один, в частности - Возраст Empires 4. в режиме реального времени серии стратегия ветеран имел продолжение приготовления пищи в течение нескольких лет, и Microsoft воспользовалась возможностью, чтобы, наконец, тянуть одеяло, что геймплей игры будет выглядеть. И, если вы любитель Возраст Империй 2 - что вы должны быть, так как это одна из самых больших стратегических игр всех времен - вы для лечения. Возраст Empires 4 выглядит как истинный преемник этого хвалили название, с футуристическим средневековой войны и городской застройки: Те подняли на изометрической век названий Empires будет смотреть на этих детальных строительных и войска, модели с ликованием - это, похоже, быть красивой стратегии игры, с баталии происходят в большом масштабе. Прицеп также дает нам наш первый взгляд на некоторых из цивилизаций, которые будут играть в играх, с тем, что выглядит как монголы и англичане собираются головой к голове. И да, супер-мощный требюше колебался единицы будут делать возвращение - смотреть, как их ракету вызвать замок фортификацию рушиться. Разрабатывается Relic, известный превосходной компании Heroes и Warhammer серии 40000 стратегии, мы еще получить полную дату выхода Age Империй 4. Но, разумеется, мы не можем ждать, чтобы ремень на костюме брони и начать лаять заказы на наших копейщиках. Смотрите больше Игровые новости
https://www.foxnews.com/sports/ex-vcu-coaches-return-contract-language	Ex-VCU men's basketball coaches never too far from program thanks to contract stipulation	VCU men’s basketball coaches always find themselves returning to the Rams’ home arena even after they have moved on to other high-profile coaching positions. That’s thanks to a contract stipulation the school has set in place for coaches since Jeff Capel’s successful time with the Rams from 2002 to 2006. The rule was inspired when the program was about to leave the Metro Conference, the New York Times reported Wednesday. IONESCU SURPASSES 2,000 POINTS AS NO. 1 OREGON ROUTS UTAH ST VCU sued the teams that left the conference and demanded they play the team at their home floor in Richmond. Richard Sander, who was the school’s athletic director from 1986 to 2006, told the newspaper he came up with the idea when Capel became the head coach. “Knowing that it was tough to get home games, I just wrote in his contract that if he took a job at a pre-eminent institution that we’d play a home-and-home series,” Sander said. “When he left and went to Oklahoma, it became part of the buyout. When I hired Anthony [Grant] after that, we kept it in his contract and all the coaches since have had the same thing.” EVANSVILLE UPSETS NO. 1 KENTUCKY AT RUPP ARENA IN FIRST-EVER MATCHUP Capel left to coach Oklahoma after the 2005-06 season, but was forced to schedule a home-and-home series with VCU because of the contract, the New York Times reported. The same stipulation was used for Anthony Grant, Sasha Smart, and Will Wade. Grant, who is currently with Dayton, left for Alabama in 2009. Smart left for Texas in 2015 and Wade bolted for LSU in 2018. Wade and the LSU Tigers returned Wednesday only to lose 84-82. “I’ve spent more time at VCU than I have anywhere else in my coaching career. I was there for six years — two years as a head coach and four years as an assistant,” he said before tipoff, according to the New York Times. “It’s going very be very odd to be on the other bench.” CLICK HERE FOR MORE SPORTS COVERAGE ON FOXNEWS.COM Among Capel, Grant, Smart and Wade, the Rams made the NCAA Tournament 10 times and reached the Final Four in 2011. Current coach Mike Rhoades made the tournament for the first time last season and is currently 3-0 this year. 	sports	Экс-VCu мужских баскетбольных тренеры никогда не бывает слишком далеко от программы, благодаря контракту условию	VCu мужские баскетбольные тренеры всегда оказываются возвращаются на главную арену Рамс даже после того, как они перешли на другие громких тренерских позиций. Это благодаря контракту условию, школа, установленная в месте для тренеров с момента успешного времени Джеффа Capel с Рамсом с 2002 по 2006 г. правила было вдохновленными, когда программа собирается покинуть конференцию Метро, ​​Нью-Йорк Таймс сообщила в среду. Ионеску превосходящую 2000 очков, как NO. 1 OREGON Routs ЮТ ST VCU подал в суд на команды, которые покинули конференцию и потребовали, чтобы они играют команды в своем доме пола в Ричмонде. Ричард Sander, который был спортивным директором школы с 1986 по 2006 год, рассказал газете он пришел с идеей, когда Капель стал главным тренером. «Зная, что это было трудно получить домашние игры, я просто написал в своем контракте, что если он устроился на работу в первостепенную учреждение, которое мы будем играть дома и дома серии,» сказал Зандер. «Когда он вышел и пошел в Оклахоме, он стал частью выкупа. Когда я нанял Энтони [Grant] после этого, мы держали его в его контракте, и все тренеры с тех пор было то же самое.»Evansville расстраивает NO. 1 КЕНТУККИ AT РУПП ARENA В ПЕРВОЙ EVER Matchup Капель слева тренер Оклахомы после сезона 2005-06, но был вынужден запланировать дома и дома серии с VCU из-за контракта, сообщает New York Times. То же условие было использовано для Энтони Грант, Саша Smart, и Уилл Уэйд. Грант, который в настоящее время с Дейтон, уехал в штат Алабама в 2009 году Смарт уехал в Техас в 2015 году и Уэйд кинулся ЛГУ в 2018. Wade и LSU Тигры вернулся в среду только потерять 84-82. «Я потратил больше времени на VCU, чем я где-либо еще в моей тренерской карьере. Я был там в течение шести лет - два года в качестве главного тренера и четыре года в качестве помощника,»сказал он, прежде чем tipoff, в соответствии с Нью-Йорк Таймс. «Это будет очень очень странно, чтобы быть на другой скамейке.» НАЖМИТЕ ЗДЕСЬ ДЛЯ БОЛЕЕ СПОРТИВНОГО ПОКРЫТИЯ НА foxnews.com Среди Капель, Гранта, Smart и Уэйд, бараны сделали NCAA турниры 10 раз и достигли Финал четыре в 2011 году. Текущий тренер Майк Роудс сделал турнир в первый раз в прошлом сезоне, и в настоящее время 3-0 в этом году.
https://time.com/longform/kurds-syria-refugees/	'No Friends But the Mountains.' What Life Looks Like for the Kurds of Syria, Now That the U.S. Has Pulled Back	The modern Middle East was formed exactly 100 years ago when, in the wake of World War I, the victors began creating new countries. Among the populations deemed deserving of nationhood — along with Armenians and Azeris — were the Kurds. The Kurds had lived for centuries in the mountains and high plains where Mesopotamia becomes Anatolia and, with their own language, culture and identity, met the criteria for a nation of their own. Instead, the Kurds ended up within the borders of five other nations, a tapestry cut by a jigsaw. What photographer Moises Saman documents is that division playing out in three of the countries: Kurds in Iraq are giving refuge to Kurds from Syria, who have come under attack by the army of Turkey, the nation with the largest Kurdish minority of all. (The Kurds in Iran and in Armenia are uninvolved in the current conflict, except by viewing the Kurdish satellite channels that unite the roughly 24 million Kurds in the region, plus 1.5 million living in Europe.) On Oct. 6, President Trump spoke on the phone with the President of Turkey, then abruptly ordered U.S. forces to abandon their positions protecting Syria’s Kurds, who had been essential allies in the common fight against ISIS. Turkish troops then began shelling Kurdish towns in Syria, and Turkish forces pushed forward, irregulars executing people in ditches along the road. Perhaps 160,000 civilians fled the advance, most going deeper into Syria. Some 15,000 Kurds have so far made their way east to Iraq. There, some found themselves in a desolate refugee camp that already contained Kurds from Syria who had fled the country when Syria’s civil war began, back in 2012. The two groups would serve as bookends in the Syrian conflict, if anyone thought it was over. Instead, the U.S. pullback marked the start of an especially convoluted new phase, in which foreign powers — Russia and Turkey, which rushed into the void left by the U.S. — patrol highways also frequented by a rump U.S. force, and occasionally even by the Damascus government. Among the Kurds, the situation is scarcely simpler. Syrians arriving at the Iraqi border approach after dark, hailing Iraqi Kurdish sentries from the darkness without drawing the attention of the Syrian Kurdish forces, who would prefer they remain in Syria. As many as 250 arrive in a night. After registering — their names checked against a list maintained by Kurdish security agencies — they are given a blanket. In the morning, they board a bus for the 60- or 70-km journey to a camp across a landscape stippled with reminders of what seems to be nearly incessant conflict. Graveyards hold only some of the at least 60,000 Kurds killed by Saddam Hussein’s forces in the late 1980s. Broken concrete marks the remains of homes destroyed in waves of battles against ISIS, which the Kurds of both Iraq and Syria fought to the death. With the help of U.S. air cover, Kurdish militias in Iraq halted, then led the way in defeating the well-armed, fanatical extremists in 2014 and again in 2016. In Syria, Kurdish fighters were the essential U.S. ally, pushing far beyond their own area to eradicate the caliphate that had been so key to ISIS recruitment. The Syrian Kurds’ battle deaths are estimated to have totaled 11,000. Trump’s betrayal of that sacrifice fits snugly into the narrative of great-power double-dealing that the Kurds have told since 1923, when the treaty that gave them a country (dubbed Kurdistan) was overtaken by the treaty that erased it. “The Kurds have no friends but the mountains,” the saying goes. And yet they press on. In Iraq, the territory the Kurds took from ISIS they then claimed as an extension of their own — only to be forced off most of it in 2017 by the government in Baghdad. In Syria, Kurdish officials continued to play a crucial part in eliminating Abu Bakr al-Baghdadi, maintaining a covert agent near the ISIS leader despite Trump’s betrayal. But in the territory the Kurds were forced from, they are patrolling with the Russians as well as with the remaining Americans, hedging their bets. 	society	'Нет друзья Но гора. Что жизнь Похожа для курдов Сирии Теперь, когда США откатились	Современный Ближний Восток был сформирован ровно 100 лет назад, когда, в результате Первой мировой войны, победители начали создавать новые страны. Среди населения считается заслуживающим государственности - наряду с армянами и азербайджанцами - были курды. Курды жили на протяжении многих веков в горах и высоких равнин, где Месопотамия становится Анатолию, и со своим собственным языком, культурой и идентичностью, отвечают критериям для нации своих собственных. Вместо этого, курды в конечном итоге в границах пяти других стран, гобелен режется лобзиком. Что фотограф Мойзес Саман документы в том, что разделение играет в трех странах: курды в Ираке, выдающие убежище курдов из Сирии, которые подвергаются нападкам со стороны армией Турции, страны с наибольшим курдским меньшинством всех. (Курды в Иране и в Армении незадействованные в текущем конфликте, за исключением просмотра курдских спутниковых каналов, которые объединяют около 24 миллионов курдов в регионе, плюс 1,5 миллионов людей, живущий в Европе.) 6 октября, президент Trump говорила о телефон с президентом Турции, а затем резко приказал сил США отказаться от своих позиций, защищающих курдов Сирии, которые были важными союзниками в общей борьбе с ISIS. Турецкие войска затем начали обстрел курдских городов в Сирии, и турецкие войска были вытеснены вперед, нерегулярные выполнения людей в канавах вдоль дороги. Возможно 160000 мирных жителей покинули наступление, большинство углубляясь в Сирию. Некоторые 15000 Курды до сих пор сделали свой путь на восток в Ирак. Там, некоторые оказались в пустынном лагере для беженцев, которые уже содержали курдов из Сирии, бежавших из страны, когда началась гражданская война в Сирии, еще в 2012 году две группы будут выступать в качестве форзацев в сирийский конфликт, если кто-то думал, что все кончено. Вместо этого США поднятие положило начало особенно извитой новой фаза, в которой иностранные державы - Россия и Турция, которые бросались в пустоте, оставленные США - патрульные шоссе также часто бывали в ягодичных США силы, а иногда даже в Дамаске правительство. Среди курдов, ситуация вряд ли проще. Сирийцы, прибывающие на границе подходе Ирака после наступления темноты, приветствуя иракские курд караулы из темноты, не привлекая к себе внимание сирийских курдских сил, которые предпочли бы они остаются в Сирии. Целых 250 прибывают в ночное время. После регистрации - их имена сверяются список поддерживаемого курдских служб безопасности - они дают одеяло. Утром они садятся на автобус для 60- или 70-километрового путешествия в лагерь через пейзаж пунктирный с напоминаниями, что кажется почти непрекращающийся конфликт. Graveyards занимают лишь часть, по меньшей мере, 60.000 курдов, убитых силами Саддама Хусейна в конце 1980-х годов. Сломанный бетона помечает остатки разрушенных домов в волнах битв ISIS, которые курды Ирака и Сирии боролись до смерти. С помощью воздушного прикрытия США, курдские боевики в Ираке прекращены, а затем повел в разгроме хорошо вооруженных, фанатично экстремистами в 2014 году и снова в 2016 году в Сирии, курдские боевики были важным союзником США, толкая далеко за пределы их собственного область для ликвидации халифата, который был таким ключом к ISIS набора. батальные падеж сирийских курдов, по оценкам, составил 11,000. предательство Трампа из этой жертвы припадков прилегать в описательной части большой мощности двурушничеством, что курды говорили с 1923 года, когда договор, который дал им страну (дублированный Курдистан) настигла договора, стер. «Курды не имеют друзей, но гора,» идет изречение. И все же они давят на. В Ираке, на территории курды взяли из ISIS тогда они утверждали, как продолжение своих собственных - только вынуждены покинуть большинство из них в 2017 году правительством в Багдаде. В Сирии, курдские чиновники продолжали играть решающую роль в ликвидации Абу Бакр аль-Багдади, поддерживая тайную агента рядом с лидером ISIS, несмотря на предательство Трампа. Но на территории курдов были вынуждены покинуть, они патрулируют с русскими, а также с остальными американцами, хеджирование свои ставки.
https://www.allkpop.com/article/2019/11/wayvs-lucas-kun-are-handsome-in-white-in-take-over-the-moon-teaser-images	WayV's Lucas & Kun are handsome in white in 'Take Over the Moon' teaser images	WayV's Lucas and Kun are handsome in white in the latest teaser images for 'Take Over the Moon'.As previously reported, WayV have already dropped the music video for their sub-title track ``Moonwalk``, but the subunit still have their second mini album 'Take Over the Moon' to come.WayV's 'Take Over the Moon' drops on November 5 KST. Stay tuned for updates! 	entertainment	WayV Лукас и Куна красивы в белом в 'Take Over Луны тизер изображения	Лукас и Kun WayV являются красивым белым цветом в последних дразнилку изображений для «взять на Moon'.As ранее сообщалось, WayV уже уронил музыкальное видео для их подзаголовке дорожки` `Moonwalk``, но субъединица до сих пор их второй мини-альбом «Take Over Луны» в come.WayV на 'Take Over Луны падает на 5 ноября KST. Следите за обновлениями!
