INPUT:first_title	INPUT:second_title	INPUT:first_url	INPUT:second_url	INPUT:first_text	INPUT:second_text	GOLDEN:quality
Экс-игрок «Шальке» найден живым: в 2016 году его признали мертвым	Экс-футболист «Шальке», которого считали погибшим в ДТП в 2016 году, оказался живым	https://footballhd.ru/allnews/germanianews/299960-eks-igrok-shalke-nayden-zhivym-v-2016-godu-ego-priznali-mertvym.html	https://nevasport.ru/140625-eks-futbolist-shalke-kotorogo-schitali-pogibshim-v-dtp-v-2016-godu-okazalsya-zhivym/	Как сообщает Bild, официально смерть 33-летнего игрока была объявлена в 2016 году. Информировалось, что Камба разбился в автокатастрофе, но все это оказалось неправдой. В настоящее время футболист проживает в регионе Рур. Предполагается, что игрок инсценировал собственную смерть ради страховых выплат. Немецкая прокуратура уже занялась этим делом и начала расследование. 	Бывший футболист «Шальке», воспитанник гельзенкирхенского клуба Хианник Камба, которого считали погибшим в 2016 году, был обнаружен живым. Информацию об этом сообщает издание Bild. Считалось, что Камба погиб в результате ДТП в 2016 году, его смерт была официально зафиксирована в документах, однако сейчас выяснилось, что это была ложь. По данным СМИ, Камба сейчас 33 года, он живет вместе со своей семьей в Рурском регионе, Северный Рейн-Вестфалия, в Германии. Теперь игрока подозревают в том, что он инсценировал свою смерти ради того, чтобы семья получила выплаты от страховой компании. Прокуратура Германии начала расследование относительно супруги Камбы, поскольку она могла представить фальшивые документы о смерти футболиста. В футболе Камба выступал на позиции защитника, с 2008 года и до «смерти» он выступал за клубы низших немецких лиг.	OK
ПНС Ливии заметает следы: Вострецов заявил, что террористы боятся резонанса фильма «Шугалей»	"Боевики ПНС Ливии похитили замглавы Аудиторского бюро страны из-за фильма ""Шугалей"""	https://riafan.ru/1274221-pns-livii-zametaet-sledy-vostrecov-zayavil-chto-terroristy-boyatsya-rezonansa-filma-shugalei	https://politexpert.net/195402-boeviki-pns-livii-pohitili-zamglavy-auditorskogo-byuro-strany-iz-za-filma-shugalei	Депутат Госдумы Сергей Вострецов прокомментировал вчерашнюю статьюФедерального агентства новостей о похищении силами нелегитимного Правительства национального согласия (ПНС) ливийского чиновника. Он согласился, что боевики ПНС неспроста напали на сотрудника Аудиторского Бюро, похожего на актера отечественного боевика «Шугалей», который по сюжету картины снабдил российских социологов информацией об экономических преступлениях «премьер-министра» Файеза Сарраджа и предоставил им его банковские счета. Премьера фильма, повествующего о судьбе незаконно заточенных в частной ливийской тюрьме «Митига» социологов, состоялась 1 мая на телеканале НТВ. «Шугалей» переведен на разные языки мира, в том числе показ прошел на ливийских телеэкранах. Ответственные за похищение российских ученых боевики ПНС также ознакомились с художественным произведением, снятым по реальным событиям. На следующий день в Триполи исчез председатель Генерального департамента Финансового надзора за государственным сектором в Ливии Редха Куркаб, удивительным образом похожий на одного из актеров. Позже выяснилось, что его похитили люди главы «МВД» ПНС Фатхи Башаги. Сергей Вострецов в эксклюзивном интервью ФАН назвал это свидетельством того, что давно утратившее легитимность «правительство» Сарраджа опасается международного разоблачения собственного террористического режима, показанного в фильме. По мнению депутата, похищение реального чиновника напрямую связано с внешним сходством между ним и актером фильма. Также Вострецов отметил, что данный персонаж по сюжету кино занимает схожий пост в Ливии: При этом «министр внутренних дел» Башага отказывается отвечать на вопрос, почему подконтрольные ему силы похищают людей и в случае с гражданами России, проводившими официальные исследования в Ливии, и в случае с членом Аудиторского Бюро Редхи Куркабом. При этом имя Башаги фигурирует в докладах Организации Объединенных Наций, где его обвиняют в применении средневековых пыток к заключенным, а также сотрудничестве с исламистскими группировками. Однако в санкционные списки ООН его не занесла. В заключение Вострецов добавил, что посмотрел отечественный боевик «Шугалей» и был тронут до глубины души стойкостью российских ученых Максима Шугалея и Самера Суэйфана, попавших в плен террористов ПНС. Он выразил надежду, что фильм сможет поспособствовать скорейшему освобождению социологов и возвращению домой. 	"Боевики Правительства национального согласия (ПНС) Ливии похитили ливийского чиновника, похожего на актера российского фильма ""Шугалей"", передают СМИ. Террористы входящей в так называемое ""МВД"" ПНС Ливии, возглавляемое экстремистом Фатхи Башагой, группировки похитили заместителя президента Аудиторского Бюро Редху Куркаба, передает ФАН. Примечательно, что чиновник имеет внешнее сходство с актером, сыгравшим в фильме ""Шугалей"", рассказывающем историю похищенных ПНС Ливии социологов из РФ, роль заместителя руководителя Триполитанского банка, выдавшего россиянам информацию о финансовых махинациях главы ПНС Ливии Файеза Сарраджа. Причиной похищения Куркаба, предположительно, является его отказ от покупки госпиталя, заявленная стоимость которого в четыре раза превышала реальную. Известно, что инициатором ""распила"" выступал Башага. Также чиновник хотел подвергнуть проверке финансовые операции ""МВД"" и его главы. Аудиторское Бюро осудило преступные действия ""МВД"" ПНС Ливии, опубликовав соответствующий пост в соцсетях. Интернет-пользователи прокомментировали сообщение, указав, что для террористов Башаги подобная практика в порядке вещей."	BAD
Российская молодежь едет покорять Канаду	Cостав молодёжной сборной России на суперсерию-2019	https://allhockey.ru/article/show/368970-Rossijskaya_molodezh_edet_pokoryat_Kanadu	https://allhockey.ru/news/show/368757-Costav_molodezhnoj_sbornoj_Rossii_na_superseriju_2019	"Уже завтра стартует традиционная ноябрьская Суперсерия между сборной России Валерия Брагина и командами канадских молодежных лиг.Россияне отправились в Канаду еще в субботу. С собой тренерский штаб Брагина взял 24 игрока из наших клубов. Список этих ребят выглядит следующим образом.Вратари: Даниил Исаев (""Локомотив"", Ярославль), Амир Мифтахов (""Барс"", Казань), Глеб Носов (""Зауралье"", Курган).Защитники: Глеб Бабинцев (""Зауралье"", Курган), Данил Валитов (""Автомобилист"", Екатеринбург), Михаил Гордеев (""Сочи""), Никита Зоркин (""СКА-Нева"", СПб), Антон Малышев (""Буран"", Воронеж), Степан Островский (""Адмирал"", Владивосток), Даниил Пыленков (""Витязь"", Подольск), Сергей Телегин (""Югра"", Ханты-Мансийск).Нападающие: Родион Амиров (""Салават Юлаев"", Уфа), Максим Грошев (""Нефтехимик"", Нижнекамск), Иван Морозов, Василий Подколзин, Данил Савунов (все — ""СКА-Нева"", СПб), Лев Комиссаров, Никита Ртищев (оба — ЦСКА, Москва), Илья Круглов, Владислав Михайлов (оба — ""Динамо"", Москва), Павел Ротенберг (""Динамо"", СПб), Егор Степанов (""Челмет"", Челябинск), Максим Соркин (""Звезда"", Москва), Захар Шабловский (""Спартак"", Москва). Во вратарской линии на себя обращают внимание, прежде всего, Исаев и Мифтахов. Амир уже вызывался в сборную на прошлый МЧМ. Правда, тогда он остался в тени феерившего Петра Кочеткова и не сыграл ни одного матча. Сейчас же он является стабильным первым номером в ""Барсе"", выступающем в ВХЛ. Что касается Исаева, то он еще в прошлом сезоне дебютировал в основной команде ""Локомотива"". В текущем регулярном чемпионате КХЛ 19-летний вратарь принял участие в трех матчах ""железнодорожников"" с ""Адмиралом"", ""Барысом"" и СКА. Показательно то, что все они завершились победами ярославцев. Хорошо себя показывает и Глеб Носов, представляющий ""Зауралье"" из ВХЛ. На данный момент у него в активе есть четыре ""сухих"" матча из десяти сыгранных и 94,4% отраженных бросков. По этому показателю он идет на шестом месте среди всех голкиперов Высшей хоккейной лиги. В защите выделяется Даниил Пыленков. Парень в этом сезоне ворвался в основу ""Витязя"" и прочно занял в ней свое место. Как правило, он играет в первом звене, что для 19-летнего защитника является редкостью. Этим же может похвастаться и Степан Островский, который в этом сезоне провел 22 матча за ""Адмирал"" и отдал две результативные передачи. Но главные звезды этой команды сосредоточены в нападении. На 18-летнего Родиона Амирова возлагают большие надежды. Согласно прогнозу официального сайта НХЛ, форвард идет 21-м в топ-30 игроков драфта-2020. Василий Подколзин пока не смог закрепиться в первой команде СКА, больше времени проводя в ВХЛ. Правда, даже там его результативность, мягко говоря, не поражает. В 12 встречах он забросил две шайбы и отдал пять передач. Тем не менее, он может и должен становиться лидером сборной этого созыва. Стабильно в этом сезоне за основу ""Нефтехимика"" играет Максим Грошев, выступавший в этом году за российскую сборную на ЧМ среди игроков до восемнадцати лет. Часто в составе московского ""Динамо"" также можно увидеть Ивана Круглова и Влада Михайлова.Помимо вышеназванных ребят, к команде также присоединятся восемь игроков из Северной Америки. Это защитники Никита Охотюк и Егор Замула, а также, форварды Егор Афанасьев, Никита Александров, Дмитрий Завгородний, Егор Соколов, Александр Хованов и Руслан Исхаков. Последние двое достаточно неплохо проявляют себя в текущем сезоне. Исхаков идет по графику ""очко за матч"", играя за университет Коннектикута в NCAA. Хованов, Соколов и Завгородний ставят на уши лигу Квебека, входя в десятку ее лучших бомбардиров. По сути, Суперсерия это единственный шанс для этих парней показать себя перед Брагиным, который традиционно делает ставку на игроков из России. В целом, состав, учитывая то, что многие другие ребята поехали на Турнир четырех наций в Германию, выходит довольно интересным. В этой команде есть на кого посмотреть. Суперсерия продлится в течение десяти дней, за которые россияне сыграют шесть матчей с сборными Молодежной лиги Квебека, лиги Онтарио и Западной хоккейной лиги. Расписание матчей подопечных Валерия Брагина выглядит следующим образом:5 ноября, 3:00 (мск). Сборная QMJHL — Россия U206 ноября, 3:00. Россия U20 — сборная QMJHL8 ноября, 3:00. Сборная OHL — Россия U2012 ноября, 3:00. Россия U20 — сборная OHL14 ноября, 4:30. Сборная WHL — Россия U2015 ноября, 4:30. Россия U20 — сборная WHL."	"Cостав молодежной сборной России U20 (игроки до 20 лет) для участия в CIBC Canada Russia Series отправился в Канаду. 5 ноября команда стартует на турнире матчем со сборной лиги Квебека.В составе на турнир 24 хоккеиста, выступающих в России:Вратари: Данил Исаев (""Локомотив"", Ярославль), Амир Мифтахов (""Барс"", Казань), Глеб Носов (""Зауралье"", Курган).Защитники: Глеб Бабинцев (""Зауралье"", Курган), Данил Валитов (""Автомобилист"", Екатеринбург), Михаил Гордеев (""Сочи""), Никита Зоркин (""СКА-Нева"", СПб), Антон Малышев (""Буран"", Воронеж), Степан Островский (""Адмирал"", Владивосток), Даниил Пыленков (""Витязь"", Подольск), Сергей Телегин (Югра, Ханты-Мансийск).Нападающие: Родион Амиров (""Салават Юлаев"", Уфа), Максим Грошев (""Нефтехимик"", Нижнекамск), Иван Морозов, Василий Подколзин, Данил Савунов (все - ""СКА-Нева"", СПб), Лев Комиссаров, Никита Ртищев (оба - ЦСКА, Москва), Илья Круглов, Владислав Михайлов (оба - ""Динамо"", Москва), Павел Ротенберг (""Динамо"", СПб), Егор Степанов (""Челмет"", Челябинск), Максим Соркин (""Звезда"", Москва), Захар Шабловский (""Спартак"", Москва).Защитник Игорь Усманов вернулся в расположение своего клуба. Защитник Петр Ясинский и нападающий Александр Дарьин присоединятся к составу молодежной сборной, который 2 ноября начинает подготовку к Турниру четырех наций (8-10 ноября, Финляндия).В ходе турнира молодежная сборная России сыграет шесть матчей со сборными юниорских лиг Канады: по два матча против сборной лиги QMJHL (Лига Квебека), OHL (юниорская лига Онтарио) и WHL (Западная хоккейная лига).   Подписывайтесь на канал AllHockey в Яндекс.Дзене Источник: Федерация хоккея России"	OK
В Москве скончался заразившийся коронавирусом митрополит Иона	В Москве скончался заболевший COVID-19 митрополит Иона	https://riamo.ru/article/428049/v-moskve-skonchalsya-zarazivshijsya-koronavirusom-mitropolit-iona.xl?mTitle=&mDesc=&mImg=&mImgWidth=&mImgHeight=	https://iz.ru/1007486/2020-05-04/v-moskve-skonchalsia-zabolevishi-covid-19-mitropolit-iona	РИАМО - 4 мая. В ночь на понедельник умер почетный настоятель храма Воздвижения Креста Господня в Алтуфьеве Иона (Карпухин), сообщает Nation News. «Врачи диагностировали у митрополита коронавирус. Иона умер на 79-м году жизни в одной из московских больниц», — говорится в сообщении. Иона в 1965 году стал послушником Свято-Троицкой Сергиевой лавры. Затем в 1981 году его возвели в сан архимандрита. Через 11 лет — избрали епископом Астраханским и Енотаевским. В сан митрополита Иона возвели в 2013 году, а в 2016 году он по состоянию здоровья пребывал на покое в столице, где являлся почетным настоятелем храма Воздвижения Креста Господня в Алтуфьево. Все, что нужно знать о коронавирусе. Спецпроект РИАМО>>   - Самые важные новости дня в карточках - Маски начнут продавать на станциях столичного метро с 5 мая. Для удобства пассажиров планируется сделать карту, на которой будут отмечены станции с автоматами по их продаже. - Запрет на проведение массовых мероприятий в стране будет снят в последнюю очередь - глава Роспотребнадзора. - Свежая карта распространения коронавируса в Подмосковье - В подмосковных магазинах начали информировать покупателей об обязательном ношении масок. Если маски у гражданина нет, ее предложат купить в самом магазине. - За сутки в России зарегистрировали 10581 случай коронавирусной инфекции.В Подмосковье выявили 803 заболевших. В Москве - 5795. - Глава Роспотребнадзора Анна Попова заявила, что полностью прекратить распространение коронавирусной инфекции в России пока не представляется возможным. - От коронавируса в Москве выздоровели еще 544 человека, всего от инфекции вылечили 7573 пациента. - В столице умерли 35 пациентов, у которых ранее подтвердилась пневмония и был положительный результат теста на Covid-19. 	Почетный настоятель столичного храма Воздвижения Креста Господня в Алтуфьево митрополит Иона (Карпухин) скончался в Москве. Об этом в понедельник, 4 мая, сообщает сайт Русской православной церкви (РПЦ) «В ночь на 4 мая 2020 года, на 79-м году жизни, в 50-й больнице города Москвы, по предварительной информации — от COVIDной пневмонии, преставился ко Господу митрополит Иона (Карпухин)», — говорится в заявлении. Митрополит Иона служил в течение многих лет в Троице-Сергиевой лавре. В 1991 году был он стал настоятелем московского Крестовоздвиженского храма в Алтуфьево, в 1992 году — назначен почетным настоятелем, пишет «Газета.ру». Решением Священного Синода в 2016 году Иона почислен на покой по состоянию здоровья в связи с достижением 75-летнего возраста. 26 апреля епископ Железногорский и Льговский, у которого был подтвержден коронавирус, скончался в Курске. По состоянию на 4 мая, в России зарегистрировано 145 268 случаев заболевания COVID-19. С начала эпидемии скончались 1356 пациентов, 18 095 — выздоровели. Актуальная информация по ситуации с коронавирусом доступна на сайтах стопкоронавирус.рф и доступвсем.рф, а также по хештегу #МыВместе. Телефон «горячей линии» по вопросам коронавируса: 8 (800) 2000-112.	OK
До начала следующей недели в Москве днем будет тепло	Климатическая норма нарушена: прогноз погоды в московском регионе	https://www.molnet.ru/mos/ru/culture/o_718929	https://newdaynews.ru/moskow/676601.html	Также в столичном регионе сохранится повышенное атмосферное давление. Температура в ночные часы будет около 0 градусов, днем - термометр будет показывать отметки, превышающие климатическую норму на 3-5 градусов, будет солнечно, пишет РИАМО со ссылкой на Гидрометцентр России. В ночь на 15 ноября в Москве будет минус 2 – 0 градусов, в центре – плюс 1-3, в Подмосковье – минус 4 – плюс 1 градус. Днем воздух в столице прогреется до плюс 4-6 градусов, в области – до плюс 1-6. В выходные станет облачно, но обойдется без осадков. В субботу, 16 ноября, ночью в Москве минус 1 – плюс 1 градус, по области – минус 3 – плюс 2 градуса, днем – плюс 3-5 градусов и 1-6 градусов соответственно. Днем 17 ноября в Москве потеплеет до плюс 5-7 градусов, по области – до плюс 2-7.	В московском регионе в ближайшие дни сохранится солнечная погода преимущественно без осадков. Согласно прогнозу Гидрометцентра России, значения средней суточной температуры будут превышать климатическую норму на 3-5°. В пятницу, 15 ноября, ночью в Москве ожидается -2…0°, по области -4…1°, днем – до 6°. Как отмечают синоптики, в выходные станет больше облаков, но обойдется преимущественно без осадков. В субботу, 16 ноября, ночью в Москве -1…1°, по области -3…2°, днем 3…5° и 1…6°, соответственно. В воскресенье, 17 ноября, ночью в столице 1…3°6, по области -1…4°, днем в Москве потеплеет до 5…7°, в Подмосковье 2…7°. Согласно прогнозу метеорологов, в начале новой недели характер погоды существенно не изменится, но дневная температура немного понизится: в понедельник до 1…6°, во вторник – до 0…5°. Москва, служба информации РИА «Новый День» © 2019, РИА «Новый День» Написать автору или сообщить новостьПодписывайтесь на каналыЯндекс НовостиЯндекс ДзенYouTube	OK
Массовая драка на Буковине: схлестнулись представители религиозных общин, есть пострадавшие	Полиция открыла уголовное производство по факту конфликта между верующими в Задубровке	https://from-ua.com/news/546849-massovaya-draka-na-bukovine-shlestnulis-predstaviteli-religioznih-obschin-est-postradavshie.html	https://for-ua.com/article/1198066	"На Буковине произошел конфликт между религиозными общинами в селе Задубровка, который перерос в драку. Двое верующих получили телесные повреждения, их доставили в больницу. Об этом сообщает УНН со ссылкой на отдел коммуникации ГУНП в Черновицкой области. ""Полицейские выяснили, что примерно в 22 часа на территории храма в селе Задубровка возник конфликт между представителями двух религиозных общин, который перерос в кратковременную драку. Во время инцидента двое прихожан получили телесные повреждения и были доставлены в больницу. После оказания первой медицинской помощи медики отпустили пострадавших домой"", - говорится в сообщении. Указано, что правоохранители установили лиц, причастных к противоправным действиям. Полицейские составили на них протоколы по статье 173 (мелкое хулиганство) Кодекса Украины об административных правонарушениях. Сведения в Единый реестр досудебных расследований внесены по признакам части 2 статьи 161 (нарушение равноправия граждан в зависимости от их расовой, национальной принадлежности, религиозных убеждений, инвалидности и по другим признакам) Уголовного кодекса Украины. В настоящее время проводится досудебное расследование. ""Сотрудники роты полиции особого назначения и Заставнивского отделения полиции продолжают круглосуточно охранять культовое сооружение и обеспечивают правопорядок. Полицейские проводят с верующими профилактическую работу по недопущению противостояний на религиозной почве"", - добавили в отделе коммуникации. Напомним, правоохранители рассказали детали спецоперации по задержанию межрегиональной банды воров икон. "	Полиция открыла уголовное производство «по факту инцидента между религиозными общинами» в селе Задубровка Черновицкой области. Об этом сообщает Центр информации УПЦ со ссылкой на Отдел коммуникации полиции Черновицкой области. «4-го мая вечером возле храма в селе Задубровка возник конфликт между верующими. Сотрудники полиции урегулировали инцидент, опросили его участников и установили обстоятельства происшествия. Полицейские выяснили, что примерно в 22 часа на территории храма в селе Задубровка возник конфликт между представителями двух религиозных общин, который перерос в кратковременную драку. Во время инцидента двое прихожан получили телесные повреждения и были доставлены в больницу. После оказания первой медицинской помощи медики отпустили пострадавших домой», – говорится в сообщении. Правоохранители установили причастных к противоправным действиям и составили на них протоколы по статье 173 (Мелкое хулиганство) Кодекса Украины об административных правонарушениях.  Также сведения об инциденте внесены в Единый реестр досудебных расследований по признакам части 2 статьи 161 (Нарушение равноправия граждан в зависимости от их расовой, национальной принадлежности, религиозных убеждений, инвалидности и по другим признакам) Уголовного кодекса Украины. Полиция начала досудебное расследование. «Сотрудники роты полиции особого назначения и Заставновского отделения полиции продолжают круглосуточно охранять культовое сооружение и обеспечивают правопорядок. Полицейские проводят с верующими профилактическую работу по недопущению противостояний на религиозной почве», – сообщили в пресс-службе полиции Черновицкой области.	OK
В Воронежской области зарегистрирована 11 смерть от коронавируса	В Воронежской области скончался 12-й пациент с коронавирусом 	http://36on.ru/news/proisshestviya/90329-v-voronezhskoy-oblasti-zaregistrirovana-11-smert-ot-koronavirusa	https://moe-online.ru/news/society/1063439	Вечером в понедельник, 4 мая, оперативный штаб по борьбе с COVID-19 сообщил об очередной смерти от коронавирусной инфекции в Воронежской области. Стало известно, что от COVID-19 умер 60-летний гражданин Азербайджана. В последнее время он выезжал в Москву. В больнице он был подключен к аппарату искусственной вентиляции легких после того, как врачи диагностировали у него двустороннюю пневмонию. Это стало 11 смертью от коронавирусной инфекции. Всего в регионе заболели 667 человек. Из них 138 уже вылечились и выписались из больниц. По данным на вечер понедельника в медицинских организациях остается 741 человек, у которых подозревают опасную болезнь. 3053 человека находятся дома, за их состоянием следят специалисты. 	В Воронежской области скончался 70-летний мужчина, у которого ранее диагностировали коронавирусную инфекцию. Об этом 5 мая сообщила пресс-служба облправительства. Таким образом, жертвами COVID-19 в регионе стали уже 12 человек. — Скончавшийся — 70-летний мужчина с двусторонней пневмонией. Сопутствующие диагнозы: ишемический инсульт, гипертония, ишемическая болезнь сердца, — говорится в сообщении. Напомним, число заболевших коронавирусом в Воронежской области достигло 667 человек, в России — 155 370. С начала пандемии от инфекции в стране скончался 1451 пациент, выздоровели — 19 865. Общее количество жертв COVID-19 во всём мире сегодня превысило 250 тысяч человек.	BAD
Появилось видео заложения капсулы с землей с Пискаревского кладбища в Иерусалиме	Петербург передал Иерусалиму капсулу со священной землёй для «Свечи Памяти»	https://nevnov.ru/742569-poyavilos-video-zalozheniya-kapsuly-s-zemlei-s-piskarevskogo-kladbisha-v-ierusalime	https://eadaily.com/ru/news/2019/11/07/peterburg-peredal-ierusalimu-kapsulu-so-svyashchennoy-zemlyoy-dlya-svechi-pamyati	В Семи городах Израиля проходят Дни Санкт-Петербурга. Кульминацией стала церемония закладки первого камня в основание памятника героическим защитникам и жителям блокадного Ленинграда «Свеча памяти». В израильском городе Иерусалиме во время Дней Санкт-Петербурга прошла церемония закладки первого камня в основание памятника героическим защитникам и жителям блокадного Ленинграда «Свеча памяти». Капсула содержит землю с Пискаревского мемориала. Об этом сообщает «Петербургский дневник». Напомним, что торжественная церемония ключевым событием Дней Санкт-Петербурга в Израиле, которые проходят с 11 по 15 ноября. Памятник разместили в самом центре Иерусалима в парке Сакер. Всем участникам церемонии вручили памятный знак, разработанный совместно с Гознаком, посвященный закладке первого камня в основание памятника и оформленный с блокадной лентой. Вице-губернатор Владимир Княгинин обратил внимание, что тема блокады требует особого внимания и напомнил, что на Пискаревском мемориальном кладбище погребены остатки 40 тысяч представителей еврейского народа. По данным Комитета по внешним связям Петербурга, настоящий момент в Израиле проживает 1,3 тысячи блокадников и почти семь тысяч ветеранов Великой Отечественной войны. #петербург#израиль#пискаревское кладбище	На Пискаревском мемориальном кладбище Северной столицы прошла передача капсулы с землей мемориала для её последующей закладки в основание памятника «Свеча Памяти» в Иерусалиме, сообщили журналистам в четверг, 7 ноября, в комитете по внешним связям Петербурга. В церемонии передачи капсулы приняли участие председатель комитета Евгений Григорьев и ветеран Великой Отечественной войны, участник боёв по защите и освобождению блокадного Ленинграда Василий Петрович Васецкий. По словам Евгения Григорьева, открытие памятника «Свеча Памяти», которое должно пройти в январе 2020 года в Иерусалиме, — событие беспрецедентное по своему масштабу. Ожидается, что в нём примет участие президент РФ Владимир Путин, а также первые лица Израиля. Кроме того, на памятнике будет размещен символ «блокадной ласточки», напоминающей о стойкости духа ленинградцев. Церемония закладки первого камня в основание «Свечи Памяти» пройдёт в иерусалимском парке «Сакер» 12 ноября. В мероприятии примет участие делегация из Санкт-Петербурга.	BAD
Жители Клинцов восхищаются новым сквером Щорса	Супруги из Миасса изготовили иконостас для кафедрального собора в Клинцах	https://riastrela.ru/posts/id18478-jiteli-klincov-voshishchayutsya-novym-skverom-shchorsa	https://riastrela.ru/posts/id18457-suprugi-iz-miassa-izgotovili-ikonostas-dlya-kafedralnogo-sobora-v-klincah	Его торжественно открыли 15 ноября Мы рассказывали, что 15 ноября в Клинцах Брянской области торжественно открыли сквер имени Щорса. В церемонии участвовал губбернатор Александр Богомаз. Жители в восторге от преобразований. Они гуляют там семьями, дети резвятся на игровых площадках. Старшеклассникам Максиму Жилину Евгению Черненку пришлась по душе площадка для ворк-аута.	В городе завершается строительство самой большой святыни на юго-западе области Мы уже рассказывали, что губернатор Брянской области Александр Богомаз посетил строящийся кафедральный собор в Клинцах. Глава региона находился в городе 15 ноября с рабочим визитом. В храме установлен мраморный иконостас. Его изготовила супружеская пара художников-камнерезов из Миасса Челябинской области Олег и Лариса. Они же и смонтировали конструкцию. Иконостас из натурального мраморного камня стал настоящим украшением Кафедрального собора в честь Богоявления Господня. Сейчас супруги завершают обрамление икон. Челябинцы представляют Южно-уральскую художественную мастерскую Миасса.	BAD
